"Date","Index","Close","Close_scale"
"2020-09-21","MSFT",202.539993,126.1
"2020-09-22","MSFT",207.419998,129.14
"2020-09-23","MSFT",200.589996,124.88
"2020-09-24","MSFT",203.190002,126.5
"2020-09-25","MSFT",207.820007,129.39
"2020-09-28","MSFT",209.440002,130.39
"2020-09-29","MSFT",207.259995,129.04
"2020-09-30","MSFT",210.330002,130.95
"2020-10-01","MSFT",212.460007,132.27
"2020-10-02","MSFT",206.190002,128.37
"2020-10-05","MSFT",210.380005,130.98
"2020-10-06","MSFT",205.910004,128.2
"2020-10-07","MSFT",209.830002,130.64
"2020-10-08","MSFT",210.580002,131.1
"2020-10-09","MSFT",215.809998,134.36
"2020-10-12","MSFT",221.399994,137.84
"2020-10-13","MSFT",222.860001,138.75
"2020-10-14","MSFT",220.860001,137.5
"2020-10-15","MSFT",219.660004,136.76
"2020-10-16","MSFT",219.660004,136.76
"2020-10-19","MSFT",214.220001,133.37
"2020-10-20","MSFT",214.649994,133.64
"2020-10-21","MSFT",214.800003,133.73
"2020-10-22","MSFT",214.889999,133.79
"2020-10-23","MSFT",216.229996,134.62
"2020-10-26","MSFT",210.080002,130.79
"2020-10-27","MSFT",213.25,132.77
"2020-10-28","MSFT",202.679993,126.19
"2020-10-29","MSFT",204.720001,127.46
"2020-10-30","MSFT",202.470001,126.06
"2020-11-02","MSFT",202.330002,125.97
"2020-11-03","MSFT",206.429993,128.52
"2020-11-04","MSFT",216.389999,134.72
"2020-11-05","MSFT",223.289993,139.02
"2020-11-06","MSFT",223.720001,139.29
"2020-11-09","MSFT",218.389999,135.97
"2020-11-10","MSFT",211.009995,131.37
"2020-11-11","MSFT",216.550003,134.82
"2020-11-12","MSFT",215.440002,134.13
"2020-11-13","MSFT",216.509995,134.8
"2020-11-16","MSFT",217.229996,135.24
"2020-11-17","MSFT",214.460007,133.52
"2020-11-18","MSFT",211.080002,131.42
"2020-11-19","MSFT",212.419998,132.25
"2020-11-20","MSFT",210.389999,130.99
"2020-11-23","MSFT",210.110001,130.81
"2020-11-24","MSFT",213.860001,133.15
"2020-11-25","MSFT",213.869995,133.15
"2020-11-27","MSFT",215.229996,134
"2020-11-30","MSFT",214.070007,133.28
"2020-12-01","MSFT",216.210007,134.61
"2020-12-02","MSFT",215.369995,134.09
"2020-12-03","MSFT",214.240005,133.38
"2020-12-04","MSFT",214.360001,133.46
